Column	Type	Name	Size	Score	P-value	Adj. p-value	Mean	Median
t.statistic.M18-M03	GOBP slim name	autophagy	107	0.1802841787768978	0.0013742580956663801	0.00366040707724223	0.8610061832003207	0.7639052976761397
t.statistic.M18-M03	GOCC slim name	membrane	1849	0.2538171783793462	5.339705027100738E-55	3.71109499383501E-53	0.785306025920444	0.7639052976761397
t.statistic.M03-D14	GOBP slim name	vesicle-mediated transport	484	0.20667100488735624	4.5209616280021284E-14	9.91133895369697E-13	0.8989825455258643	0.7610038772902181
t.statistic.M18-M03	GOBP slim name	alcohol metabolic process	245	0.1863526574461476	7.635316419041641E-7	3.6882460668252E-6	0.7611532116490262	0.7505733152277377
t.statistic.M18-M03	GOBP slim name	heterocycle metabolic process	289	0.11796991161826699	7.088633922002584E-4	0.00206149047731708	0.3238347532753119	0.738859431699581
t.statistic.M18-M03	GOBP slim name	extracellular matrix organization	81	0.20394958650887218	0.0015949666956095513	0.00413241371135202	0.9015893060665251	0.7362343143232514
t.statistic.M18-M03	GOBP slim name	extracellular structure organization	81	0.20394958650887218	0.0015949666956095513	0.00413241371135202	0.9015893060665251	0.7362343143232514
t.statistic.M03-D14	GOBP slim name	protein transport	529	0.1990437833616056	3.869143435062373E-14	9.18921565827314E-13	0.8341137102571764	0.7338674800439311
t.statistic.M03-D14	GOCC slim name	vesicle	459	0.15539511611464618	3.0706759808095654E-8	4.2375328535172E-7	0.6780068310988773	0.7338674800439311
t.statistic.M18-M03	GOBP slim name	small molecule metabolic process	873	0.1539186603876962	3.794924822031879E-13	3.60517858093028E-12	0.5180211924325939	0.7299028858698067
t.statistic.M18-M03	GOBP slim name	transport	1091	0.18824644615762212	2.762061848511252E-22	4.91992266766067E-21	0.6606660772112857	0.7250259463754263
t.statistic.M18-M03	GOMF name	nucleoside-triphosphatase regulator activity	229	0.16167028813476073	3.2803617186218044E-5	0.00133144093285238	0.5873720812990866	0.7184032937392283
t.statistic.M18-M03	GOBP slim name	protein transport	540	0.16626058951200723	1.8431795247198147E-10	1.38238464353986E-9	0.6372181661546559	0.7150695693665134
t.statistic.M03-D14	GOMF name	structural molecule activity	251	0.13247293710589042	3.754036507344846E-4	0.016926392182157	0.30356339515648906	0.7057829932244254
t.statistic.M03-D14	GOBP slim name	protein targeting	180	0.19204159633703893	1.114109299545214E-5	5.99096510132804E-5	0.8356012823857772	0.704000463309707
t.statistic.M18-M03	GOBP slim name	establishment of localization	1153	0.1758703299959704	1.976441004682704E-20	3.31344521373277E-19	0.5665682829244744	0.7023244625022091
t.statistic.M18-M03	GOBP slim name	regulation of body fluid levels	66	0.21323050070447716	0.0028531544899855206	0.00694999170637499	0.9361244874400471	0.6918102716194834
t.statistic.M03-D14	GOBP slim name	cell activation	184	0.1413138442136612	0.0010841456124198493	0.00386226874424571	0.6617987097003953	0.6753693058074612
t.statistic.M03-D14	GOBP slim name	cellular membrane organization	405	0.19874074971615258	2.3059231830867894E-11	3.12946717704636E-10	0.9945273864882763	0.6693518460500212
t.statistic.M03-D14	GOBP slim name	membrane organization	415	0.19538605989873542	2.992018772704468E-11	3.87602431918533E-10	0.9695087825905419	0.6693518460500212
t.statistic.M18-M03	GOMF name	GTPase regulator activity	197	0.15188145275168707	2.8443036788658953E-4	0.00844115930502137	0.5600503341459361	0.666789310547113
t.statistic.M03-D14	GOMF name	nucleoside-triphosphatase regulator activity	223	0.15096581388083297	1.281446875940265E-4	0.00786853020265703	0.43339326219140406	0.6596045638009245
t.statistic.M18-M03	GOBP slim name	biological adhesion	198	0.1864274850780534	7.990932437405667E-6	3.25345106380088E-5	0.9439844835996166	0.6522900559923777
t.statistic.M03-D14	GOCC slim name	endoplasmic reticulum	413	0.12601905137984554	1.8895442909912757E-5	1.37240585345682E-4	0.4024564161897468	0.6442669842481069
t.statistic.M03-D14	GOBP slim name	regulation of transport	527	0.1819423968172231	5.07286374383913E-12	7.6092956157587E-11	0.8340367050560304	0.6396958132107481
t.statistic.M18-M03	GOBP slim name	cell adhesion	192	0.17820666311930958	2.604101464875158E-5	1.0029309695803E-4	0.9218031722859865	0.6263783546290449
t.statistic.M18-M03	GOBP slim name	response to oxidative stress	191	0.16560713579419312	9.683222018671933E-5	3.17208997163391E-4	0.7580633683753312	0.6188990340955607
t.statistic.M18-M03	GOBP slim name	cell activation	190	0.15745987308697268	2.179729738201144E-4	6.90247750430362E-4	0.8492882253328038	0.6186060759856131
t.statistic.M03-D14	GOCC slim name	membrane	1836	0.1995813418574122	9.572823093696426E-35	1.32104958693011E-32	0.6256723565971419	0.6135837728902058
t.statistic.M18-M03	GOBP slim name	cellular component movement	374	0.14288248623896385	3.6641769437652463E-6	1.55864243130313E-5	0.6729312681121667	0.6031011148437482
t.statistic.M03-D14	GOBP slim name	transport	1075	0.1759979978438318	1.5824948403974716E-19	1.1275275737832E-17	0.6819907221164927	0.5969243373663892
t.statistic.M03-D14	GOBP slim name	establishment of localization	1139	0.16921560770957697	6.329615885485114E-19	3.60788105472652E-17	0.6101836804117565	0.5967525778762887
t.statistic.M18-M03	GOBP slim name	catabolic process	870	0.1625152947719689	1.8967048404839193E-14	2.00207733162191E-13	0.6084101289821442	0.5922784872176964
t.statistic.M18-M03	GOBP slim name	regulation of transport	532	0.12984684247424913	7.629533573815991E-7	3.6882460668252E-6	0.5980370597515138	0.5783699198332006
