Name	20747	20748	20749	20750	20751	20752	20753	20754	20755	20756	20757	20758	20759	20760	20761	20762	20763	20764	20765	20766	20768	20769	20770	20771	20772	20775b	20776-40ul	20777	20778	20779
Group	D14	D14	D14	D14	D14	D21	D21	D21	D21	D21	M03	M03	M03	M03	M03	M06	M06	M06	M06	M06	M12	M12	M12	M12	M12	M18	M18	M18	M18	M18
Min	0.06801345515812303	0.4291209012305162	0.666511819496444	-0.8306760693530031	0.02259656885963134	-0.2774784418363102	0.054482600534468136	0.104514454922126	0.14143908644730144	-0.19738118692977685	0.5534128601154984	0.3869991667387445	-0.15826108816245246	-0.04932868817850429	-0.3985933773590056	0.5587817641374251	0.7606560997487972	0.3263478760994645	-0.06237528270925531	0.6930725710159575	-0.034531251326367196	-0.24759689318623856	0.708729339269344	-0.5124685600075147	-0.1878305303348406	0.4835379341570666	0.5163362930670684	0.5389449302052545	0.7560239234817591	-0.2027788169268428
Max	16.174525570383018	16.091950872668956	16.2859817986167	15.32431241721034	15.618240192794618	16.34427057491352	16.27806769374348	15.890295545991528	15.865599813515423	16.008194359342045	16.765214964827067	16.59693723460441	16.62323828761025	16.33464319214595	16.108219741133247	17.00592585809933	16.724089439974396	16.249599157351597	16.330988523667017	16.541020377696796	17.069261926136203	16.563699954999066	16.460796077674818	16.923285406974042	17.871178623486735	16.163943521406033	16.522286627215504	16.247483403993687	18.56289616685831	18.226813309667744
Mean	6.958567638950084	6.718645693973645	6.969979968040378	6.394074893795954	6.462649797860117	6.562354546108989	6.515907399770624	6.388780865528796	6.485131852094378	6.466394094855062	6.605104553454776	6.699880229898014	6.540687974792852	6.4434717049316514	6.441645205790969	6.713619747641816	6.8248778376801145	6.634763771673536	6.634705405773622	6.792672633022309	7.060091583229202	6.734905203944606	6.938603325177437	6.57675553763841	6.615690037197622	6.74250510609625	6.784250973895459	6.84098664881351	6.922335988838859	6.973573952660334
Median	6.630338595640081	6.36879330815462	6.600243578328898	6.051941395968516	6.114216933629496	6.219995794489176	6.161347044422084	6.0186912339001175	6.147760015748977	6.124918637273109	6.2517061533401375	6.353643009200859	6.182376317906337	6.0802682778594415	6.074345821101234	6.342847826226051	6.471971594834078	6.265342598790074	6.243959726771001	6.449399826533774	6.69207855949249	6.376017693268687	6.609453700965881	6.214005705416404	6.243898357745776	6.369954713940665	6.429892335794997	6.4766312642605595	6.579700778658692	6.624789574742288
Sum	37200.50259782715	38336.59232981362	37143.023249687176	41484.75791094815	39835.77335400976	38934.449522064635	40001.15552719186	40191.82042504165	41602.120831185435	40524.89179245667	40159.03568500504	39194.29934490338	39564.62155952196	41270.43627008723	40885.12212115528	39093.40779051829	38526.43539370425	40963.031526312414	39987.36948059762	38881.25815141969	36712.47623279185	39655.12184082584	37322.74728612943	39598.64509212087	40263.089566384726	40205.55794765194	40061.002000852684	38521.59581946887	38903.52825727439	37810.71797132433
Std dev	2.2992730669121384	2.3397003100559406	2.2954017485061025	2.4107282555909353	2.3986455335179464	2.3714657020110574	2.38085743790195	2.4294639738410986	2.3365426272786203	2.4235044673719983	2.334124837705856	2.2947239303536144	2.3695363033459977	2.396035621093376	2.3877853782339273	2.3227920783485603	2.265688373640089	2.3005624622089913	2.3268305396942712	2.2758869095909806	2.2732383308271835	2.316787233500434	2.297875367110903	2.4042275257200876	2.403384440329738	2.285378011862216	2.2553877873503816	2.3218769567590223	2.3181021364786427	2.330313918562661
Std err	0.03144677221942647	0.03097378995806951	0.031443859568576746	0.029929043506902408	0.03055165622615561	0.03078787210198431	0.0303867725153854	0.030630255592346677	0.029172616189192115	0.03061356996379548	0.029934519431881024	0.030002159228670285	0.03046643050657513	0.02993875272163906	0.029971676699976784	0.03043945982236974	0.03015561590016839	0.029278627654622857	0.02997189203798797	0.030081595376104893	0.031524143704413775	0.03019272078051589	0.03133110394651545	0.03098426878346807	0.03080755774480757	0.02959549716551725	0.029350214089808094	0.030941861495597512	0.030921774552654702	0.03164715488346717
Coef of var	0.3304233264964074	0.34823987104343923	0.3293268788477535	0.3770253391823762	0.3711551157099948	0.36137421185467167	0.3653915397855043	0.3802703559531171	0.36029223161037693	0.3747845293407405	0.3533819667525172	0.34250223162400395	0.362276309843544	0.3718547594861816	0.3706794307900308	0.3459820731080949	0.3319749345741011	0.346743688453689	0.3507059315202492	0.3350502861755543	0.3219842553072706	0.3439970071358245	0.33117260915793034	0.36556437470738057	0.3632855268031574	0.33895087595794127	0.33244462742146424	0.3394067370620764	0.3348728146417922	0.33416350559725183
Nr of valid	5346	5706	5329	6488	6164	5933	6139	6291	6415	6267	6080	5850	6049	6405	6347	5823	5645	6174	6027	5724	5200	5888	5379	6021	6086	5963	5905	5631	5620	5422
Nr of NaN	1836	1476	1853	694	1018	1249	1043	891	767	915	1102	1332	1133	777	835	1359	1537	1008	1155	1458	1982	1294	1803	1161	1096	1219	1277	1551	1562	1760
