sample,factor,value,group,timepoint_label,timepoint_num,replicate
M12_rep4,Factor3,0.24459701776504517,group1,M12,365,rep4
M12_rep5,Factor3,0.453213632106781,group1,M12,365,rep5
M18_rep1,Factor3,-0.11963140219449997,group1,M18,548,rep1
M18_rep2,Factor3,0.4183329641819,group1,M18,548,rep2
M18_rep3,Factor3,0.027999747544527054,group1,M18,548,rep3
M18_rep4,Factor3,-1.2787991762161255,group1,M18,548,rep4
M18_rep5,Factor3,-0.899262547492981,group1,M18,548,rep5
D14_rep1,Factor4,-0.12743574380874634,group1,D14,14,rep1
D14_rep2,Factor4,-0.0218262430280447,group1,D14,14,rep2
D14_rep3,Factor4,-0.1067214161157608,group1,D14,14,rep3
D14_rep4,Factor4,0.23519334197044373,group1,D14,14,rep4
D14_rep5,Factor4,0.2462552934885025,group1,D14,14,rep5
D21_rep1,Factor4,0.28504589200019836,group1,D21,21,rep1
D21_rep2,Factor4,-0.03575343266129494,group1,D21,21,rep2
D21_rep3,Factor4,-0.04819352924823761,group1,D21,21,rep3
D21_rep4,Factor4,-0.1175917461514473,group1,D21,21,rep4
D21_rep5,Factor4,-0.1935815066099167,group1,D21,21,rep5
M03_rep1,Factor4,0.1807866096496582,group1,M03,90,rep1
M03_rep2,Factor4,0.09836182743310928,group1,M03,90,rep2
M03_rep3,Factor4,-0.25439217686653137,group1,M03,90,rep3
M03_rep4,Factor4,-0.015308148227632046,group1,M03,90,rep4
M03_rep5,Factor4,-0.27047574520111084,group1,M03,90,rep5
M06_rep1,Factor4,-0.17633867263793945,group1,M06,180,rep1
M06_rep2,Factor4,0.00496992003172636,group1,M06,180,rep2
M06_rep3,Factor4,-0.02038332261145115,group1,M06,180,rep3
M06_rep4,Factor4,-0.18608063459396362,group1,M06,180,rep4
M06_rep5,Factor4,-0.3745967745780945,group1,M06,180,rep5
M12_rep1,Factor4,-0.06760696321725845,group1,M12,365,rep1
M12_rep2,Factor4,0.1429869681596756,group1,M12,365,rep2
M12_rep3,Factor4,0.10121393948793411,group1,M12,365,rep3
M12_rep4,Factor4,0.12853188812732697,group1,M12,365,rep4
M12_rep5,Factor4,0.23505756258964539,group1,M12,365,rep5
M18_rep1,Factor4,-0.04908513277769089,group1,M18,548,rep1
M18_rep2,Factor4,0.20414383709430695,group1,M18,548,rep2
M18_rep3,Factor4,-0.10809695720672607,group1,M18,548,rep3
M18_rep4,Factor4,0.06535420566797256,group1,M18,548,rep4
