view,factor,r2,p_value,padj
cellular,Factor1,16.866090514577802,2.2531380310154728e-5,2.2531380310154728e-4
soluble,Factor1,9.674804472467446,2.2531380310154728e-5,2.2531380310154728e-4
insoluble,Factor1,32.14750058585416,2.2531380310154728e-5,2.2531380310154728e-4
cellular,Factor2,22.659924683196607,0.12709662628561433,0.6354831314280717
soluble,Factor2,0.2930254198948101,0.12709662628561433,0.6354831314280717
insoluble,Factor2,0.07033838047950658,0.12709662628561433,0.6354831314280717
cellular,Factor3,3.25704004618792,0.43445609698918797,0.8257969022296847
soluble,Factor3,13.44538112117969,0.43445609698918797,0.8257969022296847
insoluble,Factor3,0.8525725947504226,0.43445609698918797,0.8257969022296847
cellular,Factor4,4.1978883435837115,0.29448246529491895,0.7837007941256322
soluble,Factor4,2.4915550917221863,0.29448246529491895,0.7837007941256322
insoluble,Factor4,5.862099088161898,0.29448246529491895,0.7837007941256322
cellular,Factor5,8.895870627395919,0.5620873056086254,0.8257969022296847
soluble,Factor5,0.045307249192361176,0.5620873056086254,0.8257969022296847
insoluble,Factor5,0.02125647358552918,0.5620873056086254,0.8257969022296847
cellular,Factor6,1.7928483580547216,0.31348031765025286,0.7837007941256322
soluble,Factor6,3.1429889608734274,0.31348031765025286,0.7837007941256322
insoluble,Factor6,3.3230758886738876,0.31348031765025286,0.7837007941256322
cellular,Factor7,0.9348552273081623,0.5780578315607793,0.8257969022296847
soluble,Factor7,3.8083036284524585,0.5780578315607793,0.8257969022296847
insoluble,Factor7,2.5717248761696343,0.5780578315607793,0.8257969022296847
cellular,Factor8,3.3153063649005388,0.8673823001471724,0.8673823001471724
soluble,Factor8,1.4592407244810701,0.8673823001471724,0.8673823001471724
insoluble,Factor8,0.6142838863002487,0.8673823001471724,0.8673823001471724
cellular,Factor9,0.0870901111938549,0.7363089315259803,0.8673823001471724
soluble,Factor9,0.767908685201002,0.7363089315259803,0.8673823001471724
insoluble,Factor9,1.9043979781723563,0.7363089315259803,0.8673823001471724
cellular,Factor10,0.8841630071377726,0.8027046552323989,0.8673823001471724
soluble,Factor10,0.4104585822539586,0.8027046552323989,0.8673823001471724
insoluble,Factor10,0.7395966150715805,0.8027046552323989,0.8673823001471724
