sample,factor,value,group,timepoint_label,timepoint_num,replicate
M06_rep3,Factor6,-0.06590298563241959,group1,M06,180,rep3
M06_rep4,Factor6,-0.06014934927225113,group1,M06,180,rep4
M06_rep5,Factor6,0.03198524937033653,group1,M06,180,rep5
M12_rep1,Factor6,0.6510747075080872,group1,M12,365,rep1
M12_rep2,Factor6,0.0582665354013443,group1,M12,365,rep2
M12_rep3,Factor6,-0.003836345160380006,group1,M12,365,rep3
M12_rep4,Factor6,-0.2463645488023758,group1,M12,365,rep4
M12_rep5,Factor6,-0.09685085713863373,group1,M12,365,rep5
M03_rep1,Factor7,0.07203028351068497,group1,M03,90,rep1
M03_rep2,Factor7,0.0721198096871376,group1,M03,90,rep2
M03_rep3,Factor7,-0.02273457497358322,group1,M03,90,rep3
M03_rep4,Factor7,0.07714711874723434,group1,M03,90,rep4
M03_rep5,Factor7,-0.04425869882106781,group1,M03,90,rep5
M06_rep1,Factor7,-0.2033766806125641,group1,M06,180,rep1
M06_rep2,Factor7,-0.143301859498024,group1,M06,180,rep2
M06_rep3,Factor7,0.22385606169700623,group1,M06,180,rep3
M06_rep4,Factor7,0.1556006669998169,group1,M06,180,rep4
M06_rep5,Factor7,0.005329048726707697,group1,M06,180,rep5
M12_rep1,Factor7,-0.13259942829608917,group1,M12,365,rep1
M12_rep2,Factor7,0.47806695103645325,group1,M12,365,rep2
M12_rep3,Factor7,-0.0713767260313034,group1,M12,365,rep3
M12_rep4,Factor7,-0.2585963308811188,group1,M12,365,rep4
M12_rep5,Factor7,-0.2102450579404831,group1,M12,365,rep5
M03_rep1,Factor8,0.022087108343839645,group1,M03,90,rep1
M03_rep2,Factor8,-0.05630222335457802,group1,M03,90,rep2
M03_rep3,Factor8,-0.08394546806812286,group1,M03,90,rep3
M03_rep4,Factor8,-0.11704475432634354,group1,M03,90,rep4
M03_rep5,Factor8,-0.14459216594696045,group1,M03,90,rep5
M06_rep1,Factor8,-0.06903333961963654,group1,M06,180,rep1
M06_rep2,Factor8,0.4823877811431885,group1,M06,180,rep2
M06_rep3,Factor8,-0.04684639349579811,group1,M06,180,rep3
M06_rep4,Factor8,0.10346416383981705,group1,M06,180,rep4
M06_rep5,Factor8,0.027514761313796043,group1,M06,180,rep5
M12_rep1,Factor8,-0.14042000472545624,group1,M12,365,rep1
M12_rep2,Factor8,0.036541249603033066,group1,M12,365,rep2
M12_rep3,Factor8,-0.06665806472301483,group1,M12,365,rep3
M12_rep4,Factor8,-0.021848982200026512,group1,M12,365,rep4
M12_rep5,Factor8,0.07185591757297516,group1,M12,365,rep5
M03_rep1,Factor9,0.19906161725521088,group1,M03,90,rep1
M03_rep2,Factor9,-0.15114189684391022,group1,M03,90,rep2
M03_rep3,Factor9,0.176705464720726,group1,M03,90,rep3
M03_rep4,Factor9,-0.14664879441261292,group1,M03,90,rep4
M03_rep5,Factor9,-0.05160359665751457,group1,M03,90,rep5
M06_rep1,Factor9,0.04025726392865181,group1,M06,180,rep1
M06_rep2,Factor9,-0.09679076075553894,group1,M06,180,rep2
M06_rep3,Factor9,0.036011092364788055,group1,M06,180,rep3
M06_rep4,Factor9,0.074381522834301,group1,M06,180,rep4
M06_rep5,Factor9,0.006793439853936434,group1,M06,180,rep5
M12_rep1,Factor9,0.11776133626699448,group1,M12,365,rep1
M12_rep2,Factor9,-0.047027330845594406,group1,M12,365,rep2
M12_rep3,Factor9,-0.20289522409439087,group1,M12,365,rep3
M12_rep4,Factor9,0.009382101707160473,group1,M12,365,rep4
M12_rep5,Factor9,0.035156603902578354,group1,M12,365,rep5
M03_rep1,Factor10,-0.12313896417617798,group1,M03,90,rep1
M03_rep2,Factor10,-0.019416142255067825,group1,M03,90,rep2
M03_rep3,Factor10,-0.024638693779706955,group1,M03,90,rep3
M03_rep4,Factor10,0.02300143986940384,group1,M03,90,rep4
M03_rep5,Factor10,-0.22242504358291626,group1,M03,90,rep5
M06_rep1,Factor10,0.17953240871429443,group1,M06,180,rep1
M06_rep2,Factor10,0.0355997271835804,group1,M06,180,rep2
M06_rep3,Factor10,0.2276647388935089,group1,M06,180,rep3
M06_rep4,Factor10,0.04707559198141098,group1,M06,180,rep4
M06_rep5,Factor10,-0.010617692023515701,group1,M06,180,rep5
M12_rep1,Factor10,-0.019806182011961937,group1,M12,365,rep1
M12_rep2,Factor10,-0.05254658684134483,group1,M12,365,rep2
M12_rep3,Factor10,0.009738707914948463,group1,M12,365,rep3
M12_rep4,Factor10,-0.05265282094478607,group1,M12,365,rep4
M12_rep5,Factor10,0.004904783796519041,group1,M12,365,rep5
