"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Sec23b",0.662115808659026,0.65558849902497,0.704953171844179,FALSE,"Cellular"
"Agfg2",0.660120227649304,0.657012385815071,0.706096813931072,FALSE,"Cellular"
"Snx27",0.660085266759186,0.657037340864199,0.706096813931072,FALSE,"Cellular"
"Mrps2",0.660310247660626,0.65687675556765,0.706096813931072,FALSE,"Cellular"
"Sbf1",0.658515621978569,0.658158094943431,0.707163026382448,FALSE,"Cellular"
"Ctnna1",0.65743114084409,0.658932823195824,0.707857104714858,FALSE,"Cellular"
"Aftph",0.656408502375665,0.659663661455566,0.708503772354503,FALSE,"Cellular"
"Dtna",0.653912054049154,0.661448936296053,0.710143771090744,FALSE,"Cellular"
"Rnf114",0.653952765750316,0.661419809171987,0.710143771090744,FALSE,"Cellular"
"H2.T23",0.653080115139268,0.662044240242916,0.710644129803895,FALSE,"Cellular"
"Ust",0.650904109115002,0.663602153030087,0.712177364309861,FALSE,"Cellular"
"Rel",0.649531810817941,0.664585272285658,0.712815026731671,FALSE,"Cellular"
"Luzp1",0.649723812586596,0.664447692895,0.712815026731671,FALSE,"Cellular"
"Brap",0.649702037168974,0.664463295662656,0.712815026731671,FALSE,"Cellular"
"Gnpnat1",0.647202928490239,0.666254774045734,0.714466305383937,FALSE,"Cellular"
"Polr3a",0.645424286822265,0.667530729009075,0.715694997677827,FALSE,"Cellular"
"Cdk17",0.64351024939815,0.668904672304744,0.717021692386315,FALSE,"Cellular"
"Virma",0.643337149756773,0.669028970887922,0.717021692386315,FALSE,"Cellular"
"Sepsecs",0.643118025273893,0.669186329024919,0.71705056265426,FALSE,"Cellular"
"Epn1",0.642352584399946,0.669736098608475,0.71749981881321,FALSE,"Cellular"
"Selenof",0.640611237774627,0.670987316337507,0.718592545127726,FALSE,"Cellular"
"Gtf3c1",0.640569265057624,0.671017483937021,0.718592545127726,FALSE,"Cellular"
"Cog2",0.639679654582768,0.671656981390318,0.719137309383441,FALSE,"Cellular"
"Sdr39u1",0.636045077467389,0.674271579916424,0.721796173360689,FALSE,"Cellular"
"Tbc1d4",0.635497817841216,0.67466551816853,0.722077286137936,FALSE,"Cellular"
