"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Ctdp1",15.7942241719863,6.48185883097442e-07,2.94702160084744e-06,TRUE,"Insoluble"
"Pigk",15.7909348582447,6.49386901179722e-07,2.9506741008901e-06,TRUE,"Insoluble"
"Arpc3",15.7871528406667,6.50770796569224e-07,2.9551525768321e-06,TRUE,"Insoluble"
"Trmt112",15.773741676239,6.55703925687556e-07,2.9739138927883e-06,TRUE,"Insoluble"
"Myo1c",15.7747274838881,6.55339933864527e-07,2.9739138927883e-06,TRUE,"Insoluble"
"Aldoa",15.7657313818085,6.58669709487356e-07,2.98405807830546e-06,TRUE,"Insoluble"
"Wdr41",15.7655288166042,6.58744896531583e-07,2.98405807830546e-06,TRUE,"Insoluble"
"Ttc9c",15.7581260234128,6.61499008128947e-07,2.99470569878999e-06,TRUE,"Insoluble"
"Mgat2",15.7449227302192,6.66442106887772e-07,3.01524416652882e-06,TRUE,"Insoluble"
"Hmgb1",15.7402965343763,6.68183526067261e-07,3.02128078209572e-06,TRUE,"Insoluble"
"Rpl21",15.7364543955108,6.69633550051567e-07,3.02599326515385e-06,TRUE,"Insoluble"
"Rpl6",15.7300379578861,6.72062714063738e-07,3.0351219344814e-06,TRUE,"Insoluble"
"Arf2",15.7246908915666,6.74094317186161e-07,3.04244515421005e-06,TRUE,"Insoluble"
"Igkv5.48",15.7233322528836,6.74611586651452e-07,3.04292885893846e-06,TRUE,"Insoluble"
"Sugt1",15.7197371392387,6.75982414626376e-07,3.04367300236822e-06,TRUE,"Insoluble"
"Keap1",15.719672321722,6.76007157399304e-07,3.04367300236822e-06,TRUE,"Insoluble"
"Golt1b",15.7205726276267,6.75663571606783e-07,3.04367300236822e-06,TRUE,"Insoluble"
"Tra2a",15.7123240077972,6.78818592480922e-07,3.05328773122842e-06,TRUE,"Insoluble"
"Atp2b4",15.7119406759153,6.78965600610093e-07,3.05328773122842e-06,TRUE,"Insoluble"
"Apoa1",15.7043233882055,6.81893994795761e-07,3.06459929823413e-06,TRUE,"Insoluble"
"Rbm42",15.6887524349503,6.87922724866433e-07,3.08982240829838e-06,TRUE,"Insoluble"
"Uchl1",15.6818222394536,6.90624474765664e-07,3.09858058026287e-06,TRUE,"Insoluble"
"Sec62",15.6805404176599,6.91125452875344e-07,3.09858058026287e-06,TRUE,"Insoluble"
"Slc39a7",15.6813201264094,6.90820670211329e-07,3.09858058026287e-06,TRUE,"Insoluble"
"Extl3",15.6760730933303,6.92874506733007e-07,3.10454640094137e-06,TRUE,"Insoluble"
"Htt",15.671833257057,6.94538926101572e-07,3.11012602997807e-06,TRUE,"Insoluble"
"Lage3",15.6606277856077,6.98958692210008e-07,3.12614436178316e-06,TRUE,"Insoluble"
"Slc30a9",15.6615910723395,6.98577550262803e-07,3.12614436178316e-06,TRUE,"Insoluble"
"Snrnp70",15.6571572906087,7.00333724124077e-07,3.1304073692775e-06,TRUE,"Insoluble"
"Suv39h2",15.6536311772928,7.01733791526249e-07,3.13307332967764e-06,TRUE,"Insoluble"
"Rptor",15.6535283981965,7.01774646081433e-07,3.13307332967764e-06,TRUE,"Insoluble"
"Tex264",15.6221778246458,7.14357448607211e-07,3.18733149047836e-06,TRUE,"Insoluble"
"Nxt2",15.616856118317,7.16517498262471e-07,3.19504797903097e-06,TRUE,"Insoluble"
"Abhd12",15.6127625078603,7.18183881433678e-07,3.20055519533807e-06,TRUE,"Insoluble"
"H2.Eb1",15.6083455825543,7.19986582113771e-07,3.20666292874201e-06,TRUE,"Insoluble"
"Lamtor1",15.6061989287052,7.20864474178622e-07,3.20864690966129e-06,TRUE,"Insoluble"
"Dohh",15.6011246742484,7.22944242679369e-07,3.21597498841782e-06,TRUE,"Insoluble"
"Myo5a",15.5991447602663,7.23757504379375e-07,3.2176636803445e-06,TRUE,"Insoluble"
"Foxp1",15.5951560571733,7.25398896896917e-07,3.22110102631665e-06,TRUE,"Insoluble"
"Prkd1",15.5954526838923,7.25276693369566e-07,3.22110102631665e-06,TRUE,"Insoluble"
"Rdh10",15.5934483198828,7.26102879836443e-07,3.22229866530287e-06,TRUE,"Insoluble"
"Mpc1",15.5871166962541,7.28719434421929e-07,3.23197740789642e-06,TRUE,"Insoluble"
"Lipa",15.5841484123554,7.29949595061097e-07,3.23549939985265e-06,TRUE,"Insoluble"
"Sphk2",15.578162201238,7.32437333176736e-07,3.24458806696799e-06,TRUE,"Insoluble"
"Cbx1",15.5634064262743,7.38608786365765e-07,3.25938598465905e-06,TRUE,"Insoluble"
"Creb1",15.56696882593,7.37113712306913e-07,3.25938598465905e-06,TRUE,"Insoluble"
"Ppil1",15.5650381897989,7.37923558034496e-07,3.25938598465905e-06,TRUE,"Insoluble"
