"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection","cluster","Fraction","term_name_norm"
"query_1",TRUE,1.31988052388646e-07,65,2748,52,0.0189228529839884,0.8,"KEGG:04723","KEGG","Retrograde endocannabinoid signaling",6067,366,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Ndufab1,Ndufs6,Ndufa1,Ndufa8,Ndufb1,Ndufa6,Ndufa12,Ndufs5,Ndufb7,Ndufa2,Ndufb9,Ndufv2,Ndufb6,Ndufv1,Ndufs8,Ndufa13,Ndufb2,Ndufc2,Ndufs3,Ndufb4,Ndufs1,Ndufb3,Ndufa10,Ndufv3,Ndufb10,Gnao1,Ndufs7,Gnai3,Gng5,Gnb1,Gng12,Gnb2,Ndufs2,Itpr1,Gnaq,Adcy3,Napepld,Gnai1,Itpr2,Gnai2,Mtnd1,Adcy9,Abhd6,Itpr3,Faah,Gng2,Mtnd5,Prkcb,Adcy5,Mtnd4,Mgll,Daglb","2","Insoluble","retrograde endocannabinoid signaling"
"query_1",TRUE,1.37955880013584e-06,20,2748,20,0.00727802037845706,1,"KEGG:05323","KEGG","Rheumatoid arthritis",6067,501,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Ctsl,Ctsk,Tgfb1,Atp6v1f,Atp6v1g1,Atp6v1e1,Atp6v1d,Atp6v1h,Atp6v1a,Atp6v1b2,Atp6v1c1,Icam1,Atp6v0a2,Atp6v0d1,Itgal,Atp6v0c,Atp6v0a1,Itgb2,Acp5,Atp6v0d2","2","Insoluble","rheumatoid arthritis"
"query_1",TRUE,0.00174253513431432,33,2748,25,0.00909752547307132,0.757575757575758,"KEGG:04970","KEGG","Salivary secretion",6067,415,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Cst3,Prkg1,Gucy1a1,Kcnma1,Atp1b3,Slc12a2,Camp,Gnas,Itpr1,Gnaq,Adcy3,Atp1b1,Atp1b2,Itpr2,Adcy9,Itpr3,Prkcb,Cd38,Atp2b1,Adcy5,Atp2b4,Atp1a1,Lyz1,Atp1a3,Lyz2","2","Insoluble","salivary secretion"
"query_1",TRUE,1.06520734141537e-06,145,2748,97,0.0352983988355167,0.668965517241379,"KEGG:05132","KEGG","Salmonella infection",6067,445,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Anxa2,S100a10,Abi1,Pfn1,Pfn2,Actr1b,Map2k2,Brk1,Hsp90b1,Dync1i1,Dctn3,Actr1a,Gapdh,Dynlt3,Nfkb1,Pik3c3,Klc1,Dnm2,Pik3c2a,Rala,Tubb6,Map2k3,Rock2,Acbd3,Arpc2,Tradd,Tubb5,Dync1li1,Kif5b,Rab5a,Cyfip1,Arpc3,Snx9,Nckap1,Arpc5,Cse1l,Arf6,Arpc4,Fhod1,Gcc2,Exoc2,Arf1,Arpc1b,Gsdmd,Tubb2a,Actr2,Actr3,Raf1,Exoc4,Pik3ca,Tubb4b,Elmo2,Actr10,Fyco1,Rhoa,Myo6,Vps33a,Rras,Tuba1b,Tubb3,Elmo1,Exoc5,Rhob,Rhoj,Vps16,Dync1h1,Actb,Rab5c,Bax,Rab5b,Dync2h1,Nckap1l,Rab7a,Rab9a,Vps11,Vps41,Cdc42,Cd14,Ikbkb,Arf2,Rhog,Vps39,M6pr,Rac1,Casp1,Tuba1c,Arl8b,Podxl,Vps18,Chuk,Tuba4a,Arl8a,Tubb1,Tlr9,Actg1,Bak1,Ptprc","2","Insoluble","salmonella infection"
"query_1",TRUE,0.00208006086595576,40,2748,29,0.0105531295487627,0.725,"KEGG:04726","KEGG","Serotonergic synapse",6067,369,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Kras,App,Gnao1,Nras,Gnai3,Gng5,Gnb1,Gng12,Gnb2,Araf,Raf1,Braf,Gnas,Itpr1,Gnaq,Gnai1,Maoa,Ptgs1,Itpr2,Gnai2,Alox12,Maob,Itpr3,Gng2,Cyp2j6,Prkcb,Cyp2d26,Cyp2d11,Adcy5","2","Insoluble","serotonergic synapse"
"query_1",TRUE,0.0270235763998181,17,2748,13,0.00473071324599709,0.764705882352941,"KEGG:04130","KEGG","SNARE interactions in vesicular transport",6067,281,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Stx5,Ykt6,Stx16,Sec22b,Vti1b,Stx4,Vti1a,Stx7,Use1,Bet1,Stx8,Vamp8,Stx3","2","Insoluble","snare interactions in vesicular transport"
"query_1",TRUE,5.78575062773943e-08,29,2748,28,0.0101892285298399,0.96551724137931,"KEGG:00600","KEGG","Sphingolipid metabolism",6067,97,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Glb1,Neu1,Arsa,Gla,Gm2a,Smpd1,Galc,Asah1,Asah2,Gba1,Psap,Sphk2,Gba2,Kdsr,Hexa,Sptlc1,Cers6,Sptlc2,Sgpp1,Smpd4,B4galnt1,Degs1,Hexb,Cers5,Plpp3,Cers2,Smpd2,Sgpl1","2","Insoluble","sphingolipid metabolism"
"query_1",TRUE,0.000210849418641818,62,2748,44,0.0160116448326055,0.709677419354839,"KEGG:04071","KEGG","Sphingolipid signaling pathway",6067,267,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Kng1,Ctsd,Pten,Map2k2,Nfkb1,Kras,Smpd1,Rock2,Tradd,Nras,Rock1,Gnai3,Prkce,Raf1,Asah1,Pik3ca,Rhoa,Ppp2r5a,Map3k5,Nos3,Gna13,Asah2,Gna12,Gnaq,Gnai1,Sphk2,Bax,Gnai2,Pld1,Ormdl3,Sptlc1,Rac1,Cers6,Sptlc2,Sgpp1,Degs1,Prkcb,Cers5,Cers2,Abcc1,Smpd2,Sgpl1,Rac2,Fcer1g","2","Insoluble","sphingolipid signaling pathway"
"query_1",TRUE,7.98106314349849e-08,36,2748,33,0.0120087336244541,0.916666666666667,"KEGG:05150","KEGG","Staphylococcus aureus infection",6067,455,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Fgg,Plg,Masp2,Masp1,Mbl1,Mbl2,C1qc,C1qb,C1qa,Cfi,C3,Cfh,C5,C4b,C2,C1s1,C1ra,Camp,Krt18,Krt19,Krt13,Krt17,Fcgr1,Krt16,Krt14,Icam1,Krt42,Dsg1a,Itgal,Itgam,Fcgr3,Itgb2,Fcgr4","2","Insoluble","staphylococcus aureus infection"
"query_1",TRUE,9.77759927876174e-05,14,2748,14,0.00509461426491994,1,"KEGG:00100","KEGG","Steroid biosynthesis",6067,14,"KEGG:00000","KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG,KEGG","Sqle,Msmo1,Hsd17b7,Nsdhl,Lss,Dhcr24,Fdft1,Cyp51a1,Soat1,Lipa,Dhcr7,Ebp,Sc5d,Tm7sf2","2","Insoluble","steroid biosynthesis"
