Name	20713	20714-40ul	20715	20716	20717	20718	20719b	20720	20721-40ul	20722	20723	20724	20725	20726-40ul	20727	20728b	20729	20730	20731	20732	20733	20734	20735	20736	20737	20740-40ul	20741	20742	20743	20744
Group	D14	D14	D14	D14	D14	D21	D21	D21	D21	D21	M03	M03	M03	M03	M03	M06	M06	M06	M06	M06	M12	M12	M12	M12	M12	M18	M18	M18	M18	M18
Min	-0.2918359569538661	-0.4858645894258751	0.07367905844942993	0.025244176753343665	-0.3054124544042101	0.23297140451280285	-0.019087749494129665	0.09319525342669133	1.000910188976476	0.003150890472159982	0.21113539763577635	-0.6318395393434073	0.1189653035145149	1.242682185934513	0.12572592588873605	0.5636607420191745	0.2248821039164576	0.8013664573629536	0.3945311221499532	0.109358824829615	-0.19348302416668087	0.4819340327195993	-0.4036165128524764	0.8572103070374616	0.6962686449321327	0.2970393947885909	0.05777379879691048	-0.256695108399948	0.007944494176196661	1.496103925767679
Max	17.34098326730216	16.755988280652566	16.789251144456998	16.48187886381555	17.014792661992004	16.57133625975334	16.771132973507825	16.5183454401522	16.480300361424025	16.245269509452502	15.846384011917676	16.075805544879383	15.86781093189347	15.88693429169764	15.894171356852766	16.116086595219386	16.360744896447475	16.29782125273713	16.163740875817812	16.148150857849462	15.87087405109667	16.002352179977226	16.285543325931265	16.692223004474652	17.180364779181755	16.55768630552268	17.1461935673363	16.416117146246272	17.228074432814328	17.23585968559367
Mean	6.262012730335551	6.303420124311862	6.0794265775352105	6.26078600168392	5.99220617030906	6.213639596066668	6.224973150585097	6.147232429221522	6.857837511684636	6.084723546248217	5.995276996017517	5.891947076855275	6.15790042496361	6.982734237282437	6.114820019642822	6.594505361980864	6.160950881624965	6.488148703119554	6.414184649453566	6.366651484656991	5.991218344838002	6.146898807532797	6.1964935664655725	6.7853210135630375	6.457750599300846	6.932063563614065	6.110121341143692	6.174640514159988	7.109048661701264	7.067469889665772
Median	5.947987261585469	5.974887075153515	5.789894377105209	5.942059840211491	5.691636826922161	5.893889140142008	5.92649798729376	5.813523460220704	6.5691722083017	5.773233773382982	5.708188296876017	5.5798792997577396	5.801118492077361	6.607063050362328	5.76873829917057	6.245023507246061	5.820758704447927	6.1222433167266574	6.061902165202718	5.99812925021264	5.668364175301043	5.824598028668355	5.854266750255807	6.403594604492086	6.135373933244764	6.611502656011356	5.802268213542766	5.796927075089583	6.814752299962831	6.760685943071483
Sum	38599.046469788336	37227.99925418586	38671.232459701474	39486.777312620485	39926.06971276926	39966.12988190081	38806.48262074749	37725.56541813248	34405.77079612182	37846.98045766391	41247.50573260052	39912.049498617635	36454.77051578457	33517.1243389557	36756.18313807301	34027.64766782126	37686.53654289991	35937.85566657921	35816.807082548716	34768.283757711826	37289.34297827172	38940.60394572027	37178.961398793435	34055.52616707289	37228.93220496938	32941.16605429404	36746.269745638165	35059.60883940041	31265.59601416216	32404.349444117564
Std dev	2.195473344857665	2.219332383368059	2.280177740373426	2.262811237415028	2.2890822100474812	2.2226014770748903	2.2448611802679115	2.256525450385927	2.08604233002121	2.302190451039939	2.280364557823861	2.3334613603952725	2.258809022886237	2.0469053470126783	2.2832816545326287	2.1716589670941335	2.306648219248725	2.1836007336852	2.158012886975212	2.243536159839595	2.3118819527038967	2.212077771773577	2.2264151707510957	2.0839714291143996	2.1675374024591787	2.1439691547234836	2.2962705473538167	2.302816064814837	2.0825421115894835	2.059395900591438
Std err	0.027963842905710235	0.028878566324069	0.02858946338619069	0.02849291689197159	0.02804312989088632	0.027713321547860225	0.028431913612870667	0.028804621606302296	0.029451069214940104	0.029190803932433604	0.027492235998559066	0.0283516290304961	0.02935747234944956	0.02954453382758635	0.02945005588624162	0.030231992748327944	0.02949253654479753	0.029339827016979306	0.02887894535851152	0.03035966571651552	0.029304267006488895	0.02779246594171715	0.028742896260208456	0.02941596924014135	0.028547425251241	0.031101427074631902	0.029610200188650168	0.03056057747246832	0.031402641385412246	0.03041376415777715
Coef of var	0.3506018654708197	0.3520838433104348	0.3750646070468509	0.3614260632461188	0.3820099217196022	0.35769719867271227	0.36062182534183507	0.3670798975583376	0.30418369150142943	0.3783558009729872	0.3803601667343542	0.39604248476052456	0.3668148016374568	0.2931380856633174	0.3734012852705351	0.3293133977287128	0.3743980861993728	0.3365522021151129	0.3364438357974394	0.3523887188180943	0.38587843400763394	0.35986890967893553	0.3593024259397439	0.30712937898572407	0.33564898010986194	0.3092829624322883	0.3758142300532449	0.3729473901409979	0.2929424471109347	0.29139082765711355
Nr of valid	6164	5906	6361	6307	6663	6432	6234	6137	5017	6220	6880	6774	5920	4800	6011	5160	6117	5539	5584	5461	6224	6335	6000	5019	5765	4752	6014	5678	4398	4585
Nr of NaN	1109	1367	912	966	610	841	1039	1136	2256	1053	393	499	1353	2473	1262	2113	1156	1734	1689	1812	1049	938	1273	2254	1508	2521	1259	1595	2875	2688
