Column	Type	Name	Size	Score	P-value	Adj. p-value	Mean	Median
t.statistic.M03-D14	GOMF name	retinal binding	6	0.8555852247441034	2.85821921107108E-4	0.0066027079449549	6.0043191955718855	5.836931710189824
t.statistic.M03-D14	GOMF name	geranylgeranyl reductase activity	6	0.8979750778816199	1.4034344248440138E-4	0.00376777890633798	6.426342656068197	5.596850724528846
t.statistic.M18-M03	GOMF name	L-glutamate transmembrane transporter activity	4	0.9763620386643234	7.229294861164356E-4	0.0114702234508421	5.26984970651137	5.491964791719824
t.statistic.M03-D14	GOMF name	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity	7	0.7291174857524381	8.40783052302146E-4	0.0166544597688876	4.71471322988239	5.118045563744211
t.statistic.M03-D14	KEGG name	Chloroalkane and chloroalkene degradation	6	0.678237650200267	0.004029547687463045	0.0175714702436913	4.409044987614366	5.0725735845471345
t.statistic.M03-D14	GOMF name	acyl-CoA dehydrogenase activity	12	0.6139603519322865	2.3344574458100786E-4	0.00585509315743834	3.9330574483374563	5.034669296406383
t.statistic.M18-M03	GOMF name	solute:hydrogen symporter activity	4	0.9335676625659051	0.0012268925383919597	0.0176002601832211	4.730442522428425	5.023657656326252
t.statistic.M03-D14	GOMF name	retinal dehydrogenase activity	12	0.8670787392805435	2.0271293954849781E-7	1.34782706699215E-5	5.749637033634344	5.0119332052279475
t.statistic.M03-D14	GOMF name	malate dehydrogenase activity	5	0.915968630068413	3.9148741312994626E-4	0.00857818008181794	4.930228943714542	4.944761446780038
t.statistic.M03-D14	GOMF name	alditol:NADP+ 1-oxidoreductase activity	11	0.9088935116995914	1.828567485570036E-7	1.32905636756066E-5	5.8055437670962355	4.927480939511483
t.statistic.M03-D14	KEGG name	Glyoxylate and dicarboxylate metabolism	14	0.8956025592055004	6.7549127306500496E-9	1.38215906642532E-7	4.748738594530869	4.845914445112832
t.statistic.M03-D14	GOMF name	aldehyde dehydrogenase (NAD) activity	13	0.6706381337960284	2.8737869111282464E-5	9.24270408448025E-4	3.8879094612844196	4.670347396838658
t.statistic.M03-D14	KEGG name	Carbon fixation pathways in prokaryotes	13	0.8358203200308464	1.8520860855131713E-7	2.59292051971844E-6	4.232660014889385	4.625643748556056
t.statistic.M03-D14	KEGG name	Propanoate metabolism	29	0.7069918717973899	4.77229381799197E-11	1.26943015558586E-9	3.8378772854542893	4.625575965739222
t.statistic.M03-D14	GOMF name	NADPH binding	11	0.7100991542281002	4.598921301591793E-5	0.0014128644823447	4.443222217811622	4.4603690193482715
t.statistic.M03-D14	KEGG name	Valine, leucine and isoleucine degradation	42	0.7619127570437173	1.5716987382192088E-17	1.39357288122103E-15	3.9566753156931767	4.419676606118273
t.statistic.M03-D14	KEGG name	Pyruvate metabolism	35	0.6483744998921923	3.498513581781607E-11	1.03400512528212E-9	3.451786781438946	4.240305426905849
t.statistic.M03-D14	KEGG name	Pentose and glucuronate interconversions	14	0.6735819327731092	1.3015229339230102E-5	1.19381069111559E-4	3.781205031976533	4.15568586707394
t.statistic.M03-D14	GOMF name	alcohol dehydrogenase (NADP+) activity	18	0.6131549609810479	6.839939263587584E-6	2.77574461506361E-4	3.690804364076113	4.10981437835764
t.statistic.M03-D14	GOMF name	superoxide dismutase activity	5	0.8617720674119806	8.500559076576666E-4	0.0166544597688876	4.531799669774435	4.0829394349838
t.statistic.M03-D14	GOMF name	oxidoreductase activity, acting on superoxide radicals as acceptor	5	0.8617720674119806	8.500559076576666E-4	0.0166544597688876	4.531799669774435	4.0829394349838
t.statistic.M03-D14	GOMF name	aldo-keto reductase (NADP) activity	19	0.5737537521676745	1.5286501052246835E-5	5.42306823043995E-4	3.459687739672191	3.9957270121240698
t.statistic.M03-D14	KEGG name	Metabolism of xenobiotics by cytochrome P450	24	0.62152661533311	1.418564576911246E-7	2.09632320810217E-6	3.19462115267993	3.905379730051084
t.statistic.M03-D14	GOMF name	hydrolase activity, acting on ether bonds	6	0.825545171339564	4.644777604488252E-4	0.00974749102913732	3.9450851067089125	3.8992939345595823
t.statistic.M03-D14	KEGG name	Complement and coagulation cascades	35	0.717783474281881	2.2507414217654517E-13	9.97828696982684E-12	4.117034155906243	3.893510862077091
t.statistic.M18-M03	GOMF name	NADH dehydrogenase (ubiquinone) activity	10	0.8948627726952849	9.74944384206837E-7	3.96254792868724E-5	3.7599049352788967	3.8660065505242245
t.statistic.M03-D14	GOMF name	glutathione transferase activity	17	0.6333487416033123	6.295208614045649E-6	2.67996023855086E-4	3.2831963335458747	3.8133822783191538
t.statistic.M18-M03	GOMF name	NADH dehydrogenase (quinone) activity	11	0.7426775230752005	2.02732130878258E-5	6.01506232315792E-4	3.1018507799633976	3.8121021772416865
t.statistic.M18-M03	GOMF name	hydrogen ion transporting ATP synthase activity, rotational mechanism	12	0.8531326997536078	3.171654104752894E-7	1.47035902012529E-5	3.89385556756673	3.7995752425715494
t.statistic.M03-D14	GOBP slim name	cellular aldehyde metabolic process	33	0.6559831339378699	7.594160372886544E-11	5.9909487386105E-10	3.6892000140027466	3.7980348598834652
t.statistic.M03-D14	GOBP slim name	isopentenyl diphosphate metabolic process	4	0.8026359693026359	0.0054483967903015745	0.017003787785117	3.9138880325068035	3.6310259236248346
t.statistic.M03-D14	GOMF name	serine-type endopeptidase inhibitor activity	39	0.4852776020757226	1.6809390481402274E-7	1.25229959086447E-5	3.5277101795388504	3.586952533037878
t.statistic.M18-M03	GOMF name	quinone binding	9	0.740994820678198	1.1960219195573795E-4	0.00281634685343392	3.067628380201377	3.42124056016768
t.statistic.M03-D14	KEGG name	Fatty acid metabolism	34	0.5719809050380716	8.418984640619256E-9	1.59960708171766E-7	2.9584372594781536	3.3917932132684707
t.statistic.M18-M03	GOMF name	NADH dehydrogenase activity	13	0.7533478667081905	2.6160536005289425E-6	9.46564760093826E-5	3.0857521963972365	3.367792335075055
t.statistic.M03-D14	KEGG name	Drug metabolism - cytochrome P450	27	0.49883697128714716	7.4978372235999395E-6	7.67086423645225E-5	2.567009055936897	3.3566618781987527
t.statistic.M18-M03	KEGG name	Biosynthesis of unsaturated fatty acids	12	0.4918162618796199	0.0032032612085029534	0.0137430238945449	2.163835712859315	3.3457302131062736
t.statistic.M18-M03	GOCC slim name	respiratory chain complex III	10	0.7450387051372274	4.565931632526425E-5	1.81368950958689E-4	2.9318322463817696	3.303907266509639
t.statistic.M03-D14	GOMF name	retinoid binding	11	0.5755045021789634	9.575418563272697E-4	0.018509851084242	3.625961113957845	3.2434849621949104
