ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSMUSG00000000001,7105.60406928575,0.11467564251095,0.162648866433722,0.705050364170097,0.480778894183376,0.736500092186349,Gnai3
ENSMUSG00000000028,416.051458151926,0.955904732409196,0.256281314958329,3.72990411948146,1.9155264917586e-4,0.00354938303450623,Cdc45
ENSMUSG00000000037,273.228183182589,0.726184491700096,0.254361926739053,2.8549260536349,0.00430468503716526,0.0380373046266474,Scml2
ENSMUSG00000000056,954.778899014253,0.00798969086762082,0.234930402334282,0.0340087565859284,0.972870167995812,0.989116409484853,Narf
ENSMUSG00000000058,1919.26691636907,-0.0581418076313656,0.209364427027434,-0.277706239101196,0.781237870811642,0.910455306725002,Cav2
ENSMUSG00000000078,9839.74488349413,-0.347747121010278,0.234204132596789,-1.4848035222716,0.137595878599739,0.382822413492847,Klf6
ENSMUSG00000000085,1853.30159126005,-0.213133201394918,0.137019692873568,-1.55549320630563,0.119828651326893,0.354793184761283,Scmh1
ENSMUSG00000000088,2295.87483947896,0.075793231958132,0.23366339273308,0.324369303516501,0.745658456701007,0.893627615369167,Cox5a
ENSMUSG00000000093,1002.51288082259,0.418933565298045,0.290337723720517,1.44291812972026,0.149043535375557,0.402152573309831,Tbx2
ENSMUSG00000000094,167.001727842689,1.33881777986538,0.317567028564853,4.2158588878567,2.48829325462852e-5,7.1429917418274e-4,Tbx4
ENSMUSG00000000120,568.293273475319,-1.05573671020444,0.544820922064792,-1.93776829678888,0.0526514972719348,0.213040300642664,Ngfr
ENSMUSG00000000126,182.344167545522,0.238271778257321,0.337085842076537,0.706857863829298,0.479654811331895,0.735696706564269,Wnt9a
ENSMUSG00000000127,957.492258476889,0.33661245048575,0.264402478526504,1.27310625967528,0.202980338001278,0.475139826871943,Fer
ENSMUSG00000000131,3641.46642182996,-0.0742203916592036,0.120819451941816,-0.614308296109028,0.539011621424649,0.778359006055525,Xpo6
ENSMUSG00000000134,2103.49459107809,-0.258264964180902,0.23214953049155,-1.11249401898016,0.265925800333259,0.548468971951406,Tfe3
ENSMUSG00000000142,1077.12297150331,0.417070302985873,0.182217364203457,2.28886146393923,0.0220874029113835,0.120283594573064,Axin2
ENSMUSG00000000148,710.433381600322,-0.0537310603854698,0.18782804118135,-0.286065169223545,0.774828208196688,0.907019906555421,Brat1
ENSMUSG00000000149,3630.84884043849,-0.0577286956911094,0.136615236612499,-0.42256410867884,0.672613317627248,0.856076725038862,Gna12
ENSMUSG00000000154,16.814281761411,-0.785852123334962,0.583451050560362,-1.34690326220205,0.178011390758755,0.442717906104322,Slc22a18
ENSMUSG00000000167,40.9838656960517,-0.0500581149067977,0.334498828750987,-0.1496510917354,0.881039896654999,0.955732330961881,Pih1d2
ENSMUSG00000000168,2324.51017819181,-0.136757290242363,0.195755553039165,-0.698612571235727,0.484794185235147,0.739531067718516,Dlat
ENSMUSG00000000171,3665.62407896518,0.084939597240029,0.201768620714061,0.42097525838967,0.673773148730662,0.856503518550848,Sdhd
ENSMUSG00000000184,10103.0881772468,0.17995234395505,0.276326462673595,0.651230946952825,0.514897416139028,0.761600956985563,Ccnd2
ENSMUSG00000000194,2469.64914310752,-0.105735045088852,0.14849080600274,-0.712064591304739,0.47642477946106,0.734158565658233,Gpr107
ENSMUSG00000000197,152.199492995433,0.127762719005184,0.432790162173992,0.295207077636437,0.767835695633957,0.904884102822758,Nalcn
ENSMUSG00000000202,12.3718201493381,1.08923127850172,0.712924544487999,1.52783529045697,0.126553437793006,0.366034533137839,Btbd17
ENSMUSG00000000204,779.780314630483,-0.328975701744485,0.74588800013023,-0.441052412275096,0.659175053523358,0.849603738907052,Slfn4
ENSMUSG00000000214,58.9401600303002,2.35184876579082,0.422896597380966,5.56128562006887,2.67794498969169e-8,2.61824256903916e-6,Th
ENSMUSG00000000223,205.966487261185,-0.212594270561806,0.509395273647936,-0.417346374337855,0.676425072897856,0.85685472817774,Drp2
ENSMUSG00000000244,28.7053326985309,-1.02831314099876,0.464280131856004,-2.21485493442932,0.026770023183146,0.136490953310748,Tspan32
ENSMUSG00000000247,11.063354789506,1.29532278809552,0.63873435700668,2.02795226824157,0.0425651197974191,0.185445571730774,Lhx2
ENSMUSG00000000253,474.156825420635,0.360524435113926,0.214235922897276,1.68283838787761,0.0924063814468349,0.303714942856999,Gmpr
ENSMUSG00000000266,1083.51513365278,-0.277149933104131,0.180402392309769,-1.53628746024741,0.124467893616956,0.362689491551092,Mid2
ENSMUSG00000000275,2885.59958092292,-0.467443701060471,0.259674644297084,-1.80011299264816,0.0718427984652182,0.259699685361112,Trim25
ENSMUSG00000000276,887.890593380761,0.0831781802785817,0.126226290423155,0.658960823452384,0.509920926242573,0.758424672490185,Dgke
ENSMUSG00000000278,11135.9516020971,-0.236120510667627,0.214689420645473,-1.09982368929834,0.271408948682472,0.554574107106255,Scpep1
ENSMUSG00000000282,2055.95225052552,-0.528342955199983,0.23721474513444,-2.22727703920997,0.0259287640946408,0.133673073206273,Mnt
ENSMUSG00000000290,615.955317065839,-2.17881263398096,0.536644102626199,-4.0600700227924,4.9058001297811e-5,0.00121664906641543,Itgb2
ENSMUSG00000000295,627.07458320283,0.302111545552107,0.228571172484935,1.32173949263886,0.186254913022295,0.453921247704334,Hddc2
ENSMUSG00000000296,1031.85685575055,0.487280963270863,0.556201383765411,0.876087290491861,0.380982581526917,0.659890734426728,Tpd52l1
ENSMUSG00000000301,116.62318353902,0.386342487759434,0.351422164564128,1.09936858490021,0.271607327744641,0.554729097375729,Pemt
ENSMUSG00000000303,2568.17548642432,-0.921458279682419,0.393442274392631,-2.34204186905157,0.0191785632965263,0.109166746764234,Cdh1
ENSMUSG00000000305,73.7104753602163,-0.0620496662279084,0.363000448374111,-0.170935508498214,0.864274475797534,0.948442233080075,Cdh4
ENSMUSG00000000308,93.710678185854,-0.276391117764386,0.657401040258088,-0.420429997579375,0.674171357939592,0.856553438944277,Ckmt1
ENSMUSG00000000317,575.997969551529,-0.831641849887094,0.337283879930125,-2.46570292674344,0.0136744693355114,0.086716274256213,Bcl6b
ENSMUSG00000000318,112.511254392198,0.227191732616346,0.373459492514339,0.60834370840801,0.542959537689906,0.780803813457685,Clec10a
ENSMUSG00000000320,292.639283472189,-0.52113679982353,0.291101190168083,-1.79022558967424,0.0734176528737135,0.2625390781437,Alox12
ENSMUSG00000000326,1887.82691791546,-0.0847469097876459,0.157494402572561,-0.538094741167714,0.59051164286759406,0.811148265793577,Comt
ENSMUSG00000000339,1040.22038538471,0.193295351796763,0.158991053435237,1.21576244461767,0.224075428889383,0.50089638943134,Rtca
ENSMUSG00000000340,2105.7726383931,-0.416575016763528,0.236896958879577,-1.75846502518965,0.0786684174998928,0.274406666792386,Dbt
ENSMUSG00000000346,8638.21190799558,-0.205311674275476,0.175049525901713,-1.17287763687378,0.240844878693329,0.520286291754852,Dazap2
ENSMUSG00000000355,1070.00566494169,-0.0099812825886374,0.169759667606872,-0.0587965488466435,0.953114157328447,0.983346394100318,Mcts1
ENSMUSG00000000359,208.698211451202,0.491827641624093,0.410942937599522,1.19682709355476,0.231373955644307,0.508975062202188,Rem1
