"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Ubtf",44.5592201028493,5.4145681178636e-08,0.000131975636039757,TRUE,"Cellular"
"Nap1l4",43.596331312144,6.32153133815945e-08,0.000131975636039757,TRUE,"Cellular"
"Sub1",42.7463035559452,7.26604713010226e-08,0.000131975636039757,TRUE,"Cellular"
"Cfdp1",36.0127417459667,2.40772468753235e-07,0.000317633476327382,TRUE,"Cellular"
"Lsm6",34.9642260625133,2.95200810438745e-07,0.000317633476327382,TRUE,"Cellular"
"Tcerg1",33.6928844005654,3.80670905535855e-07,0.000317633476327382,TRUE,"Cellular"
"Hsd17b10",33.3526531755058,4.08044473167861e-07,0.000317633476327382,TRUE,"Cellular"
"Hmgb1",31.1444675926958,6.50222846462895e-07,0.000322096753670574,TRUE,"Cellular"
"Acin1",31.2686647111122,6.32940985526324e-07,0.000322096753670574,TRUE,"Cellular"
"Dek",32.2664069497088,5.11421965668749e-07,0.000322096753670574,TRUE,"Cellular"
"Ilkap",31.5677451270901,5.93404836465568e-07,0.000322096753670574,TRUE,"Cellular"
"Akr1e2",29.8190498152025,8.71817198990883e-07,0.00039587765977511,TRUE,"Cellular"
"Srrt",29.0705246537427,1.03387465842607e-06,0.00043335253952028,TRUE,"Cellular"
"Aldh1a2",27.7363513906326,1.4140941612646e-06,0.000550385648909342,TRUE,"Cellular"
"Rtn3",27.1995685135912,1.60966391072525e-06,0.000584737243302793,TRUE,"Cellular"
"Ubxn1",26.3560324310812,1.98161734804164e-06,0.000635166642910523,TRUE,"Cellular"
"Ube2r2",26.5072466501441,1.90836737625486e-06,0.000635166642910523,TRUE,"Cellular"
"Stmn1",26.1046488017234,2.11049735497764e-06,0.000638894449292952,TRUE,"Cellular"
"Aip",25.3688565069727,2.54530607190357e-06,0.00072996698872645,TRUE,"Cellular"
"Glrx",24.8198463240713,2.93566011656258e-06,0.000761733903578548,TRUE,"Cellular"
"Sumo1",24.9868564716,2.81020945033835e-06,0.000761733903578548,TRUE,"Cellular"
"Ldhb",24.6348934515173,3.08199429202152e-06,0.000763353949873876,TRUE,"Cellular"
"Hmgb3",24.4206675778193,3.26184127146628e-06,0.000772772742966077,TRUE,"Cellular"
"Serpina3k",23.4703230327866,4.21580737406865e-06,0.00084543348412945,TRUE,"Cellular"
"Sacm1l",23.2708003529199,4.45381614441993e-06,0.00084543348412945,TRUE,"Cellular"
"Ncl",23.7662751489806,3.8886588568795e-06,0.00084543348412945,TRUE,"Cellular"
"Hmgb2",23.2339064643109,4.49946247747367e-06,0.00084543348412945,TRUE,"Cellular"
"Puf60",23.3818683017625,4.31951266706107e-06,0.00084543348412945,TRUE,"Cellular"
"Rbbp7",23.7976895170442,3.85564264283737e-06,0.00084543348412945,TRUE,"Cellular"
"Vps33a",22.9861888234272,4.81992959199359e-06,0.000875459878225769,TRUE,"Cellular"
"Rps28",22.5251523834875,5.48710407598735e-06,0.00094809442598656,TRUE,"Cellular"
"Sae1",22.4736893530094,5.56781457727471e-06,0.00094809442598656,TRUE,"Cellular"
"Cbx3",22.1069616477538,6.18318583857583e-06,0.00102097514043635,TRUE,"Cellular"
"Sumo2",21.528872043168,7.31491834913797e-06,0.00110719416901258,TRUE,"Cellular"
"Paf1",21.7210802089557,6.91462599935327e-06,0.00110719416901258,TRUE,"Cellular"
"Rps21",21.5542303668703,7.26064395066153e-06,0.00110719416901258,TRUE,"Cellular"
"Khsrp",21.1948394384746,8.07414256542125e-06,0.00112810263689693,TRUE,"Cellular"
"G3bp1",21.2851099186068,7.86057516566075e-06,0.00112810263689693,TRUE,"Cellular"
"Dnajc8",21.1986077130338,8.06509791967361e-06,0.00112810263689693,TRUE,"Cellular"
"Sugt1",21.0707571309667,8.37843493004749e-06,0.00114135229834572,TRUE,"Cellular"
"Ppm1g",20.8485398939457,8.956173833327e-06,0.00119029734677558,TRUE,"Cellular"
"Gmps",20.5086196907035,9.9286925363132e-06,0.00125817315419467,TRUE,"Cellular"
"Rpa3",20.5855430768174,9.69862884469199e-06,0.00125817315419467,TRUE,"Cellular"
"Ranbp3",20.4034185063602,1.02533315381446e-05,0.00126978189889432,TRUE,"Cellular"
"Dpysl3",19.9890112262915,1.16535519869003e-05,0.0013750280704677,TRUE,"Cellular"
"Ugdh",19.8360589972241,1.22237115759859e-05,0.0013750280704677,TRUE,"Cellular"
"Tcea1",19.7024118559022,1.27476788441758e-05,0.0013750280704677,TRUE,"Cellular"
"Slc25a4",19.8799554392371,1.20569322760255e-05,0.0013750280704677,TRUE,"Cellular"
